# x  Fit  Background  peak0  peak1
5.371999999999999886e+01 3.580841361637279618e+01 2.795030226650783334e+01 7.542107837410729765e+00 3.160035124542289187e-01
5.374000000000000199e+01 3.597133532293288738e+01 2.799198865895300514e+01 7.660962422302761254e+00 3.183842416771203165e-01
5.375999999999999801e+01 3.613684207792456959e+01 2.803338487412815994e+01 7.782665189779901738e+00 3.207920140165020362e-01
5.378000000000000114e+01 3.630502657170067948e+01 2.807449091203397984e+01 7.907308418482025481e+00 3.232272411846739413e-01
5.379999999999999716e+01 3.647598529291113323e+01 2.811530677266978273e+01 8.034988177471399595e+00 3.256903427699504028e-01
5.382000000000000028e+01 3.664981871822301684e+01 2.815583245603602336e+01 8.165804515768568805e+00 3.281817464184204058e-01
5.384000000000000341e+01 3.682663151325970574e+01 2.819606796213247435e+01 8.299861663106618437e+00 3.307018880206134548e-01
5.385999999999999943e+01 3.700653274553746996e+01 2.823601329095913570e+01 8.437268242675088459e+00 3.332512119032456366e-01
5.388000000000000256e+01 3.718963611022609683e+01 2.827566844251623479e+01 8.578137496683670093e+00 3.358301710261967776e-01
5.389999999999999858e+01 3.737606016962978117e+01 2.831503341680354424e+01 8.722587525641365858e+00 3.384392271848741807e-01
5.392000000000000171e+01 3.756592860735941031e+01 2.835410821382106406e+01 8.870741542320194739e+00 3.410788512181516241e-01
5.393999999999999773e+01 3.775937049823873082e+01 2.839289283356902160e+01 9.022728141447675654e+00 3.437495232220362240e-01
5.396000000000000085e+01 3.795652059507709453e+01 2.843138727604718952e+01 9.178681586260633907e+00 3.464517327692709925e-01
5.397999999999999687e+01 3.815751963353282150e+01 2.846959154125534042e+01 9.338742113142441070e+00 3.491859791350330755e-01
5.400000000000000000e+01 3.836251465639370650e+01 2.850750562919392905e+01 9.503056255670820462e+00 3.519527715289540448e-01
5.402000000000000313e+01 3.857165935870737883e+01 2.854512953986295543e+01 9.671777189510788020e+00 3.547526293336334957e-01
5.403999999999999915e+01 3.878511445532397062e+01 2.858246327326196479e+01 9.845065099712122958e+00 3.575860823498813179e-01
5.406000000000000227e+01 3.900304807254235584e+01 2.861950682939163926e+01 1.002308757210182399e+01 3.604536710488956963e-01
5.407999999999999829e+01 3.922563616569083678e+01 2.865626020825129672e+01 1.020602001060795239e+01 3.633559468315929464e-01
5.410000000000000142e+01 3.945306296465026463e+01 2.869272340984116454e+01 1.039404608251375173e+01 3.662934722953464783e-01
5.411999999999999744e+01 3.968552144948304772e+01 2.872889643416147010e+01 1.058735819381323218e+01 3.692668215083486083e-01
5.414000000000000057e+01 3.992321385854113913e+01 2.876477928121198602e+01 1.078615799703727873e+01 3.722765802918758249e-01
5.415999999999999659e+01 4.016635223163118695e+01 2.880037195099271230e+01 1.099065693412778799e+01 3.753233465106889932e-01
5.417999999999999972e+01 4.041515899105217358e+01 2.883567444350364894e+01 1.120107681717665571e+01 3.784077303718679786e-01
5.420000000000000284e+01 4.066986756357798782e+01 2.887068675874502333e+01 1.141765045010063240e+01 3.815303547323334321e-01
5.421999999999999886e+01 4.093072304674480932e+01 2.890540889671660807e+01 1.164062229461283060e+01 3.846918554153695990e-01
5.424000000000000199e+01 4.119798292311990906e+01 2.893984085741863055e+01 1.187024918416483388e+01 3.878928815364415250e-01
5.425999999999999801e+01 4.147191782657176162e+01 2.897398264085063602e+01 1.210680108988251646e+01 3.911340958386100297e-01
5.428000000000000114e+01 4.175281236495929704e+01 2.900783424701307922e+01 1.235056194290831932e+01 3.944161750378957221e-01
5.429999999999999716e+01 4.204096600407144990e+01 2.904139567590573279e+01 1.260183051798681930e+01 3.977398101788970908e-01
5.432000000000000028e+01 4.233669401814177036e+01 2.907466692752882409e+01 1.286092138361189363e+01 4.011057070010509151e-01
5.434000000000000341e+01 4.264032851277479352e+01 2.910764800188189838e+01 1.312816592457703635e+01 4.045145863158617350e-01
5.435999999999999943e+01 4.295221952672439869e+01 2.914033889896541041e+01 1.340391344336347501e+01 4.079671843955104960e-01
5.438000000000000256e+01 4.327273621960564753e+01 2.917273961877913280e+01 1.368853234745329317e+01 4.114642533732250640e-01
5.439999999999999858e+01 4.360226815336431372e+01 2.920485016132306555e+01 1.398241143038544365e+01 4.150065616558069603e-01
5.442000000000000171e+01 4.394122667613741129e+01 2.923667052659743604e+01 1.428596125519120186e+01 4.185948943487731166e-01
5.443999999999999773e+01 4.429004641804875320e+01 2.926820071460201689e+01 1.459961564975222004e+01 4.222300536945146066e-01
5.446000000000000085e+01 4.464918690951395774e+01 2.929944072533703547e+01 1.492383332465294465e+01 4.259128595239740633e-01
5.447999999999999687e+01 4.501913433375725049e+01 2.933039055880203705e+01 1.525909962523293650e+01 4.296441497222767691e-01
5.450000000000000000e+01 4.540040342654659611e+01 2.936105021499747636e+01 1.560592843084026704e+01 4.334247807088573712e-01
5.452000000000000313e+01 4.579353953757181728e+01 2.939141969392289866e+01 1.596486421571635894e+01 4.372556279325559014e-01
5.453999999999999915e+01 4.619912086953635821e+01 2.942149899557875870e+01 1.633648428757534887e+01 4.411375863822551979e-01
5.456000000000000227e+01 4.661776091284284718e+01 2.945128811996505647e+01 1.672140122176417876e+01 4.450715711136094543e-01
5.457999999999999829e+01 4.705011109581908357e+01 2.948078706708156460e+01 1.712026551094508520e+01 4.490585177924291682e-01
5.460000000000000142e+01 4.749686367276354559e+01 2.950999583692828310e+01 1.753376845257988847e+01 4.530993832553669720e-01
5.461999999999999744e+01 4.795875487470505760e+01 2.953891442950521196e+01 1.796264529911136165e+01 4.571951460884907115e-01
5.464000000000000057e+01 4.843656835075953637e+01 2.956754284481257855e+01 1.840767869872250984e+01 4.613468072244507612e-01
5.465999999999999659e+01 4.893113893132934322e+01 2.959588108285015551e+01 1.886970245792030809e+01 4.655553905588769581e-01
5.467999999999999972e+01 4.944335674821432036e+01 2.962392914361794283e+01 1.934960566100960122e+01 4.698219435867698746e-01
5.470000000000000284e+01 4.997417175103743148e+01 2.965168702711594051e+01 1.984833718586190798e+01 4.741475380595823186e-01
5.471999999999999886e+01 5.052459866430778845e+01 2.967915473334414855e+01 2.036691066029983688e+01 4.785332706638050770e-01
5.474000000000000199e+01 5.109572243503929911e+01 2.970633226230279433e+01 2.090640990901465202e+01 4.829802637218522654e-01
